kood,kasRegistrivara,arveleVoetud,ads_oid,x,y,ehrKood,peamineKasutusTekst,seisundTekst,kasulikPind,energiamargis,margiseAeg,aadresstekst
KL44144H4,true,"1997-04-14",,,,"","","kasutusel",607.8,"","",""
KL44154H1,true,"1995-11-23",ME01033537,6470250.2,593299.62,"112016984","Büroohoone","kasutusel",2193.8,"E","2014-09-24","Viljandi maakond, Viljandi linn, Vabaduse plats 4"
KL44155H1,true,"2014-05-20",ME01647180,6406714.97,623449.12,"111023953","Muu transpordihoone, nagu näiteks tuletorn","kasutusel",322.0,"","","Valga maakond, Valga linn, J. Kuperjanovi tn 107a"
KL44295H1,true,"2012-03-20",,,,"104016321","","",157.1,"","",""
KL44296H1,true,"2012-03-20",EE00664771,6585178.4,694980.69,"102006729","Muu kolme või enama korteriga elamu","kasutusel",3497.5,"E","2009-06-30","Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Narva mnt 40"
KL44297H1,true,"2012-05-22",ME00667898,6589230.31,686437.67,"102011298","Administratiivhoone","kasutusel",4425.7,"","","Ida-Viru maakond, Kohtla-Järve linn, Järve linnaosa, Keskallee 19"
KL44298H1,true,"2012-03-20",EE01063268,6585347.92,694025.33,"120316451","Muu kolme või enama korteriga elamu","kasutusel",1926.4,"","","Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Nooruse tn 5a"
KL44299H1,true,"2012-03-20",EE00664409,6583788.93,694237.19,"102006325","Muu kolme või enama korteriga elamu","kasutusel",6601.2,"","","Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Hariduse tn 9"
KL44300H1,true,"1996-10-09",ME01688200,6438759.16,680109.65,"110009860","Administratiivhoone","kasutusel",1848.7,"E","","Põlva maakond, Põlva vald, Põlva linn, Kesk tn 20"
KL44301H11,true,"1997-04-23",ME00734541,,,"103051182","Muu transpordihoone, nagu näiteks tuletorn","kasutusel",1139.2,"","","Pärnu maakond, Pärnu linn, A. H. Tammsaare pst 61"
KL44301H13,true,"2008-01-28",,,,"","","",781.0,"","",""
KL44301H2,true,"1997-04-23",ME00734448,,,"103051066","Sisekaitse- või kaitseväehoone","kasutusel",1516.9,"","","Pärnu maakond, Pärnu linn, A. H. Tammsaare pst 70"
KL44315H1,true,"1996-10-09",ME01688200,6438759.16,680109.65,"110009860","Administratiivhoone","kasutusel",1848.7,"E","","Põlva maakond, Põlva vald, Põlva linn, Kesk tn 20"
KL44317H1,true,"1998-12-28",,,,"","","kasutusel",780.0,"","",""
KL44317H2,true,"1998-12-28",,,,"","","kasutusel",315.0,"","",""
KL44318H2,true,"1996-10-03",,,,"","","kasutusel",0.0,"","",""
KL44318H4,true,"1998-01-14",,,,"","","kasutusel",141.6,"","",""
KL44319H1,true,"1997-07-31",,,,"","","",,"","",""
KL44320H1,true,"1998-01-15",,,,"","","",,"","",""
KL44320H3,true,"1998-01-15",,,,"","","",,"","",""
KL44320H4,true,"1998-01-15",,,,"","","",,"","",""
KL44320H6,true,"1998-01-15",,,,"","","",,"","",""
KL44324H1,true,"2012-01-18",,,,"","","",85.8,"","",""
KL44325H2,true,"1998-01-13",,,,"","","",,"","",""
KL44325H3,true,"1999-10-25",,,,"","","",,"","",""
KL44326H1,true,"1998-01-13",,,,"","","",,"","",""
KL44326H2,true,"1999-04-07",,,,"","","",,"","",""
KL44326H4,true,"1998-01-13",,,,"","","",,"","",""
KL44326H5,true,"1998-01-13",,,,"","","",,"","",""
KL44328H1,true,"2007-08-08",,,,"","","",,"","",""
KL44330H1,true,"1997-12-11",,,,"","","",,"","",""
KL44331H1,true,"1998-01-12",,,,"","","",,"","",""
KL44331H3,true,"1998-11-12",,,,"","","",,"","",""
KL44331H4,true,"1998-11-12",,,,"","","",,"","",""
KL44332H1,true,"2000-10-05",,,,"2130000201","","",40.0,"","",""
KL44333H1,true,"1998-02-26",,,,"","","",,"","",""
KL44333H2,true,"1998-02-26",,,,"","","",,"","",""
KL44335H1,true,"1997-07-15",,,,"","","",,"","",""
KL44336H1,true,"1997-10-13",ME00867449,6598893.08,610703.21,"108042920","Energeetikaettevõtte hoone","kasutusel",100.0,"","","Lääne-Viru maakond, Vihula vald, Palmse küla, Külastuskeskuse"
KL44336H2,true,"1997-10-13",ME00944867,6598844.89,610661.71,"108019928","Muu meelelahutushoone","kasutusel",1076.2,"","","Lääne-Viru maakond, Vihula vald, Palmse küla, Külastuskeskuse"
KL44337H1,true,"1998-01-15",,,,"","","",,"","",""
KL44338H1,true,"1998-01-15",,,,"","","",,"","",""
KL44339H1,true,"1998-01-15",,,,"","","",,"","",""
KL44340H1,true,"1998-01-15",,,,"","","",,"","",""
KL44341H1,true,"1998-01-15",,,,"","","",,"","",""
KL44342H1,true,"1998-01-13",,,,"","","",,"","",""
KL44343H1,true,"1998-01-14",,,,"","","",,"","",""
KL44344H1,true,"2005-06-30",ME00943276,6429640.7,640676.9,"111026232","Metsa-, jahi- või kalamajandushoone","kasutusel",127.5,"","","Valga maakond, Otepää vald, Märdi küla, Rae"
KL44344H2,true,"2009-03-26",ME01771455,,,"120572566","Elamu, talu, kooli vms majapidamisabihoone, nagu näiteks kuur, individuaalgaraaž ja saun","kasutusel",58.2,"","","Valga maakond, Otepää vald, Märdi küla, Rae"
KL44344H3,true,"2009-03-26",ME01771458,,,"120572569","Elamu, talu, kooli vms majapidamisabihoone, nagu näiteks kuur, individuaalgaraaž ja saun","kasutusel",58.8,"","","Valga maakond, Otepää vald, Märdi küla, Rae"
KL44345H1,true,"2000-04-18",,,,"","","",,"","",""
KL44346H1,true,"1998-01-13",,,,"","","",,"","",""
KL44347H1,true,"1997-01-06",,,,"","","",,"","",""
KL44348H2,true,"2000-04-18",,,,"","","",,"","",""
KL44350H1,true,"1998-01-09",,,,"","Üksikelamu","kasutusel",172.5,"","",""
KL44350H2,true,"1998-01-09",,,,"","Elamu, talu, kooli vms majapidamisabihoone, nagu näiteks kuur, individuaalgaraaž ja saun","kasutusel",16.8,"","",""
KL44351H1,true,"1998-01-15",,,,"","","",,"","",""
KL44351H3,true,"1998-01-15",,,,"","","",,"","",""
KL44351H4,true,"1998-01-15",,,,"","","",,"","",""
KL44351H6,true,"1998-01-15",,,,"","","",,"","",""
